#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	spl
#open	2021-05-09-13-37-16
#fields	uid	orig_spl	resp_spl	orig_spt	resp_spt
#types	string	vector[count]	vector[count]	vector[double]	vector[double]
CXr7L6cOZbIauwbRg	40,240,256	40,416,96	0.0,1.429757,0.001304	0.0,0.075274,0.0
C7fuXa1uz8j5RAHq2	40	40	0.0	0.0
CMMD2k3fvwqrxG7r27	40	40	0.0	0.0
CHkMwcINoiRxMMnse	40	40	0.0	0.0
CEmKHc3KtPP0dqyUhj	40	40	0.0	0.0
CabxjG282cEowi49dg	40	40	0.0	0.0
CaSPyBcFOgSWlFag4	40	40	0.0	0.0
CyaRDi4HoLPmhRdv7	40	40	0.0	0.0
CQcRcjojT6ydRdj9f	40	40	0.0	0.0
Cs85H9fmM7r5cDD4i	36	36	0.0	0.0
CM4CEr2yqY1xQJePkk	36,526,656,642,644	36,4020,116,21,4020,116,4020,4020,4020,4020,4020,4020,4020,698,22,4020,116,4020,4020,4020	0.0,3.603019,8.251003,0.195533,0.526441	0.0,0.036008,0.0,0.0,0.006024,0.0,0.000951,0.001964,0.000036,0.000958,0.000041,0.001083,0.008918,0.0,0.000011,0.00003,0.0,0.001192,0.000035,0.000981
C1Zup82nfBTOACHL33	40	40	0.0	0.0
CRr6mk3v2fclrFu4Ve	40	40	0.0	0.0
CXZJRe14ElhfolkkLb	40,440,440,440,440	40,1592,1480,1608,1480	0.0,0.088729,0.272288,0.19289,1.477266	0.0,0.004309,0.002716,0.00239,0.00271
CZmH5O1vEGF2jRZqVc	40	40	0.0	0.0
CkTvTw49DjLZZ3GXz6	40	40	0.0	0.0
Cg3X6Y3ALH7TvfP9r6	40	40	0.0	0.0
C1cvkucNkBQLFoZlh	40	40	0.0	0.0
CmpykG4xXAgxPTz9ye	40	40	0.0	0.0
CeNXUx1C0IMloRzpab	40	40	0.0	0.0
CeIyysXy3mkbiY4g	40	-	0.0	-
C5lFwd4qRmfzzH3gX	40	40	0.0	0.0
Chnm4d2OD210WqvTkl	40	40	0.0	0.0
CHMNevC3KyN8JHKBk	40,218,26	40,35,26	0.0,0.05037,0.410601	0.0,0.321617,0.0
Cz0aeg36zeFCcthTk5	40	40	0.0	0.0
C22QB24y8oeNDbCbNg	40	40	0.0	0.0
CRFSqV24ledvPJNAgi	40	40	0.0	0.0
Cviq702EgRW0BlpvX6	40,424,440,448,456	40,24,184,24,440,24,432,24,4120,24,4120,24,4120,24,4120,24,4120,24,4120,24	0.0,11.545866,0.005187,5.226809,0.012392	0.0,0.051397,0.0,0.051544,0.0,0.052463,0.0,0.051596,0.000056,0.000685,0.000032,0.0,0.002004,0.0,0.000033,0.0,0.047886,0.0,0.000333,0.0
CULWIY3WfVQVlVSbSa	40	40	0.0	0.0
Czw5Xt2obra9MUx6l2	40,128	40,944	0.0,2.118828	0.0,0.00543
CFHebK3yMen4kNpOYc	40	40	0.0	0.0
CrMYKi3Y2PeprQkqbd	40	40	0.0	0.0
CWHHJhMmVLR2XjHH1	36,549	36,732	0.0,0.121829	0.0,0.02969
Cs4Lc61dXtMtt6IaV6	40	40	0.0	0.0
C8xApqJ418xBfFBne	36,583	36,1468,2016	0.0,0.036368	0.0,0.028928,0.000017
CJevF917mcBPrSG6ma	40	40	0.0	0.0
Cg8qMc33aHB3Pe7Le3	40	40	0.0	0.0
Cm0VqE13VKEsNbNu7	40	40	0.0	0.0
CVdukJ1RJQD9AYwUh5	40	40	0.0	0.0
CuGKvVywGibJKBHRg	40	40	0.0	0.0
CGSese4f54NHDSjYsj	40	40	0.0	0.0
ChKpok3PAv50r8H6p7	40	40	0.0	0.0
C6O1ftTPow7oZAyj	40	40	0.0	0.0
CiLuiC4Ssny8q9uF8	36,440,612,600	36,1460,4020,116,4020,4020,4020,4020,4020,4020,4020,698,22,4020,116,4020,4020,4020,4020,4020	0.0,3.975118,8.624443,0.725129	0.0,0.034255,0.000641,0.0,0.002977,0.00006,0.002968,0.000036,0.001233,0.001391,0.000046,0.001262,0.0,0.008117,0.0,0.000334,0.002582,0.000054,0.001916,0.00005
CfDawk37ZgLTp05Zbj	36,598	36,4020,97,2849,22	0.0,0.925399	0.0,0.02138,0.0,0.002553,5.990352
C6pU184abI0WthUKt7	40,266,26	40,451,26	0.0,0.003952,0.376039	0.0,0.451514,0.412972
CKLx8z33LKdV93Iouc	40	40	0.0	0.0
C0lZIvSnYHDYj0Jc1	40	40	0.0	0.0
CbeqVj4B8g5s4f4m03	40	40	0.0	0.0
C2G5cr16t4yWUmAj89	40	40	0.0	0.0
CVLCZo7adJmtk6Dx8	40	40	0.0	0.0
CP8oRhq7sc1LCi7E8	40	40	0.0	0.0
C5SOzv1KuF7j7q0sS8	40	40	0.0	0.0
CVsfu7U638TcVMz7b	40	40	0.0	0.0
CqKqN613W3LVvzbVsi	40	40	0.0	0.0
CUlDKC3jmAH3kQn1lg	40	40	0.0	0.0
C8iYUn4dnDGRz00LR6	40	40	0.0	0.0
C80qpV3OGYGUdgpUPd	40	40	0.0	0.0
CG9SJw3xsr4ZfqKrJe	40	40	0.0	0.0
CYRsRK1V3yBjh8J0ce	40	40	0.0	0.0
CeO7qR2Sn9U6Llkji9	40	40	0.0	0.0
Cbvpz31fsDtHcUSUy3	40	40	0.0	0.0
CPL96tXkmZyswauwa	40	40	0.0	0.0
Cfvphy26TMxI7tyuN6	40	40	0.0	0.0
Ca5ReJ2r9HJ8PTnZ39	40,266,26	40,451,26	0.0,0.005004,0.507412	0.0,0.450991,0.182398
CfcEGDLlw2a5BcmXa	40	40	0.0	0.0
C2EadT3yIFPEpsRSS	40	40	0.0	0.0
CHzKn40MaN4qHCC82	40	40	0.0	0.0
CbHuMS3ThvqyhXXRCl	40,133,26	40,1031,29	0.0,0.014936,0.013873	0.0,0.111679,0.0
CzRu002SFBKrPLCID9	40	40	0.0	0.0
CSho4d45lZZwu1Vj7b	40	40	0.0	0.0
CLFxr92RbPx3OUOAr5	40	40	0.0	0.0
CeO88F2wCT19q84mm	40	40	0.0	0.0
C0EVmO3M0aPqTlBeNf	40	40	0.0	0.0
C2d8w24aLE2DLYVp2b	40	40	0.0	0.0
C6BlybNz0sUVGPACe	40	40	0.0	0.0
CWcdED4AVLqx61S9j	40	40	0.0	0.0
CegzHmfrciLTopcf6	40	40	0.0	0.0
CfikFYlYdsKXf7oeg	40	40	0.0	0.0
C9DUeQ3EcTJ9C42Jq7	40	40	0.0	0.0
C5haHO3z7CAEz5LSp8	40	40	0.0	0.0
CbrCzs2qyl94ffY872	40	40	0.0	0.0
CaulChaRNhsetdJ28	40	40	0.0	0.0
CvSDFM2KawsNfHMF1h	40	40	0.0	0.0
C2sjF84Y3O1Ha8sWoi	40	40	0.0	0.0
CO4ADulEVyExBog7a	40	40	0.0	0.0
CLsi5y1mQEd1dHH8Wj	40	40	0.0	0.0
CI5TE64oUN2vnnDq8a	36	36,22	0.0	0.0,1.388906
CNEpUIutZsqQRn7h4	40	40	0.0	0.0
Cqq8EgEIswl7B9Uqk	40	40	0.0	0.0
CdbMaj1rXJIgmBj5u7	40	40	0.0	0.0
Ct3h0G1EAXg3c5Y4k	40	40	0.0	0.0
CHUl7r4oofr7toBod9	32	32	0.0	0.0
CUOg4417ajnrXBb8Gf	40	40	0.0	0.0
CLafdz2WgM8sv2jcJ8	40,280,26	40,543,26	0.0,0.021968,0.20038	0.0,0.455301,6.094411
CsR9Xx4bqLqo1YfQtd	64	64	0.0	0.0
C3IPg52YMdyTiZuXh	36	36	0.0	0.0
CBlcZX2MgYCW0Qj4fd	40	40	0.0	0.0
CaAb5w2eok3oD8wPRi	36,598	36,4020,97,2849,22	0.0,1.473731	0.0,0.019206,0.0,0.001264,3.952665
CipcFh4VqMImd0jym8	36,440,612,600	36,4020,116,21,4020,116,4020,4020,4020,4020,4020,4020,4020,698,22,4020,116,4020,4020,4020	0.0,3.871116,8.770404,1.11215	0.0,0.037247,0.0,0.0,0.001911,0.0,0.000761,0.001968,0.00006,0.001938,0.000072,0.001923,0.01208,0.0,0.000014,0.000031,0.0,0.001712,0.000049,0.00216
CYuQpw1Uhid7db0uo4	40	40	0.0	0.0
CbDlWO2OK8LdcryTwd	40	40	0.0	0.0
CrIdpmGs9tVhLcYx3	40	40	0.0	0.0
CQC6LqbGEstDheqG	40	40	0.0	0.0
C0I8Up3S9xVtdFHMfi	40	40	0.0	0.0
CCaKVW39eUybACrmXf	40	40	0.0	0.0
CSJ3T52TXDfhyCmZw8	64	64	0.0	0.0
CT0ySRso2ZHZaStg	36	36	0.0	0.0
CuJStZ3J7oEPYtELn1	40,352	40,488	0.0,2.999764	0.0,0.372096
CyiVWM1bssZsw5ueM6	40	40	0.0	0.0
CIZ06u449FTfCx4nej	40,280,26	40,543,26	0.0,0.006488,0.267687	0.0,0.463786,0.825034
COYo1s40dwX9dwoIfb	40,280,26	40,543,26	0.0,0.006918,0.342068	0.0,0.460075,0.202882
CpYajy6hI4Uw5HCgj	40	40	0.0	0.0
Ce0zqp2Qb0k4LlTY67	40	40	0.0	0.0
C7pxR71VaY7uxmNsbi	40,544	40,536,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392	0.0,0.16569	0.0,0.060315,0.000034,0.000011,0.000016,0.001197,0.000014,0.000016,0.000009,0.00001,0.000951,0.000025,0.000013,0.000016,0.000012,0.000021,0.001649,0.000025,0.000023,0.000009
CJwEZs3lk3b8IJlJE4	40	40	0.0	0.0
C6sTSsMWjiJqbIbvd	40	40	0.0	0.0
Cii3iV2Gf0yilqTDpb	40	40	0.0	0.0
C7yHYLTn2xFgskv7g	40	40	0.0	0.0
CCsQan0B7uHVrQelc	40	40	0.0	0.0
Cn7kNQ1m2TtjWpgLTb	40,224	40,4488,5984	0.0,2.506231	0.0,3.870375,7.61581
Ca6qwS3hZXLCl4Axoc	36	36	0.0	0.0
CBQ7Tg2lXcIYDBeS9c	40,640	40,15992,536,16408,8024	0.0,0.034811	0.0,0.627764,0.000011,0.024012,0.003992
CRt44y3qZiC6BIXZp5	40,648	40,1496	0.0,0.126882	0.0,0.02512
CBWVfyubGGIewpCm1	40,832	40,1320	0.0,3.740788	0.0,1.335815
CxVgpG2raUhqmUsOl4	40	40	0.0	0.0
CQbEDF4IEf3Jg0Ef3a	36	36	0.0	0.0
CoLGZj3uU8U7q8iwvb	40	40	0.0	0.0
Cnprm42KRHPeANmRj1	40	40	0.0	0.0
CGkGM1me7eMCUhTp5	64	64	0.0	0.0
C4lNf92gIwy4TvqIB	40	40	0.0	0.0
CdYzsE4E0uJQlLB2P6	40,408,424	40,24,184,24,440	0.0,23.011913,0.00867	0.0,0.235096,0.0,0.249987,0.0
Cg9o0PGLW8SrUMb43	40	40	0.0	0.0
CGbplr4yl3id6ronya	40	40	0.0	0.0
CrqCZJ2sS2fhLAGcg3	36,570,629	36,463,30,8116,2406,28,446,1165,28	0.0,1.619493,0.989429	0.0,0.271442,0.0,1.076076,0.268984,0.0,1.077033,0.000068,0.0
Cqgp0l4H49gxp41Yfe	40	40	0.0	0.0
CyCgVr3RNYDUWImTTk	40	40	0.0	0.0
CQS6P31vSIkRlWEwY	40	40	0.0	0.0
Cuzvlb2cM3GcSHQeah	40	40	0.0	0.0
CZzeoL2sXHFMgVZRUl	40	40	0.0	0.0
CT4Lj13YAM4fWcCuPa	40	40	0.0	0.0
CuHp9s4RZOivNBxzlb	40	40	0.0	0.0
CBdP51o9TYzMoSLn7	40	40	0.0	0.0
CRXYmu3Kp79jDZx3B4	40	40	0.0	0.0
CjccjIY9AvmoPNthl	40	40	0.0	0.0
Cg2aPh43nfWz9osj33	40	40	0.0	0.0
COXHzt3eK5ARLPCzn8	40,256	40,680,32	0.0,6.172264	0.0,0.02373,0.0
C9o0mk29s1nFtK5na	40	40	0.0	0.0
Co0HG24ag8yZWCA9Z9	40	40	0.0	0.0
Cauh14sAXL4GYP8Ff	40	40	0.0	0.0
COaQvq3qzCO6sqFfjc	40,280,26	40,543,26	0.0,0.004382,0.649907	0.0,3.016623,0.196771
CkVTuo1DMSixgXEDV2	40	40	0.0	0.0
CUlSMv2jTrgl7Iqhak	40	40	0.0	0.0
CQuHaX2xTDk1mTW8v3	40	40	0.0	0.0
CbIfHT3yu0z12ehgxi	40	40	0.0	0.0
CtTMLt4TeOFyN6A5Ub	40	40	0.0	0.0
CA1XcW2MpLyY5oLsW	40	40	0.0	0.0
CJN1993LVFjiU7dI3h	40	40	0.0	0.0
C6D2GR1AmBh1zkL9o6	64	64	0.0	0.0
CjFlug2SWdh8Qn4Oa5	40	40	0.0	0.0
CnMAcc1f6VGyH55u58	40	40	0.0	0.0
CD3oN31Dr92R7nwN81	40,232	40,24,192	0.0,12.335892	0.0,0.205921,0.0
CxAHjW1rwZuCQKofS7	40	40	0.0	0.0
CWNWvt3uVfSQNeTuJl	40,472,480,480,480,480	40,8240,1024,1680,1776,872	0.0,0.223693,0.129191,0.202374,0.053689,3.345505	0.0,0.047632,0.024487,0.024675,0.024334,0.023948
C5BmTC3Idq1Dgs5t9f	40	40	0.0	0.0
CCRSSQ1NUYhtBhZdvc	40	40	0.0	0.0
CW7Qni4Lzmok115Z9e	40	40	0.0	0.0
C7aa5WnEVoh6oCYW1	40,360,480,480,480,480,480,480,488	40,8392,720,1184,1024,3008,1024,1672,1952	0.0,3.246097,3.997865,0.540225,0.109153,0.093048,0.123285,0.108693,3.382838	0.0,0.037695,0.031322,0.030767,0.030845,0.031318,0.031359,0.031356,0.031161
Ca6xny2yZQL04bUTcj	64	64	0.0	0.0
C8BrN63d9XFYXCJJJ1	32	32	0.0	0.0
Ca6mcYyy3F59RaVEd	40	40	0.0	0.0
ChwBDp4ZeY59QuxN9f	40	40	0.0	0.0
CFGLtk3SyBl51Li9i5	40	40	0.0	0.0
CinCB84gjrZq6DObfl	40	40	0.0	0.0
CjLN7b491siF3LW597	40	40	0.0	0.0
CKwVLl3eS39uo0IX12	40,328	40,1800,1120,48	0.0,0.118633	0.0,0.100554,0.000436,0.0
C7kV0Q2SgNePAtasn8	40,256	40,24,200	0.0,14.694935	0.0,0.18807,0.0
CnXmgU20v8qmLiVxac	40	40	0.0	0.0
CBZ6DL2wrVBzmbpFH	40	40	0.0	0.0
C5Quan2G2qC9O5YWs2	40	40	0.0	0.0
CN2VxE36EeeFnFEJwa	40	40	0.0	0.0
Cqx2Pz1er2ACv7yfW7	40	40	0.0	0.0
CNkRcU3A7fVoW0sk88	40	40	0.0	0.0
CbZkz84BjOqcbizyYd	40	40	0.0	0.0
CIfXE61xYuW3RSvuql	40	40	0.0	0.0
Ckfq3Q2wZ1aexKoo6k	40	40	0.0	0.0
CaeEYRgYzGSfcN1Wl	40	40	0.0	0.0
C7C4OE10uKnz1CaJwj	40	40	0.0	0.0
C2AvXF2mfezUJbmWS5	40	40	0.0	0.0
Cwcsib4mMXxLiQO5u2	32	32	0.0	0.0
CDafzy4eyE0jbR9Zfb	36,349	36,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443	0.0,3.256069	0.0,0.343649,0.000036,0.00001,0.000018,0.000011,0.001204,0.000288,0.000014,0.000016,0.000012,0.002409,0.00003,0.076248,0.000063,0.000014,0.000018,0.000018,0.000014,0.002115
Crw1HX1Ku3dOPFUWEk	40	40	0.0	0.0
CNUpBB3qgxbIj7e6K5	40	40	0.0	0.0
CXfXuj11HIgZrdyDz6	40	40	0.0	0.0
CCXqD51j4CHz4Nwi7c	40	40	0.0	0.0
CpeNIr138FNvwBbDbc	40	40	0.0	0.0
CvgNN93qfwDxKywQl1	40,440	40,680	0.0,8.808041	0.0,0.044354
CJkUCV3TelWm6Q5gxk	40	40	0.0	0.0
CCFWTNB6x33oOXn3	40	40	0.0	0.0
CaZZXk4z1svhMaXXg9	40	40	0.0	0.0
CSWLI742cwtqK8s9Je	40	40	0.0	0.0
CPjGHIncufiMpPLP1	40	40	0.0	0.0
CRm4KW2ZfF7WCmLSFf	40	40	0.0	0.0
Cy6BF91OY43T9sZbJe	40	40	0.0	0.0
CuJEcm4ACwtwvG2Rj	40,302,26	40,996,26	0.0,0.004608,0.714401	0.0,0.449866,0.415871
C87j2e4N7UFYOW3en3	40	40	0.0	0.0
CI8sKU2G3WSg0o2Nif	40	40	0.0	0.0
CUktFr3xgqfxhzC50i	36,804,582,764	36,1469,4020,116,4020,4020,962,22,1475,950,3192,4020,116,2921,25,4020,116,4020,4020,2404	0.0,0.029503,0.768246,1.188847	0.0,0.035507,0.000737,0.0,0.000625,0.021609,0.000021,0.0,0.000017,0.000701,0.000032,0.00003,0.0,0.00096,0.0,0.052779,0.0,0.00003,0.001213,0.000022
Cg4Zhb48iMddvw7pC5	40	40	0.0	0.0
CLGOgx4f6nQ25Q2pAe	40	40	0.0	0.0
C8I1Ut1yBJqM4tgFQd	40	40	0.0	0.0
Cb56xF1MJP5UIlWXqf	40	40	0.0	0.0
CeNSYT1EXr7w0WfYD8	40	40	0.0	0.0
CaWzjPB6NlZhEuHSe	40	40	0.0	0.0
CXICtx2TUjsXbD7f7l	40	40	0.0	0.0
CU5wpaP43NeEj2n82	40	40	0.0	0.0
C0uXU62GyvRaTJ3E16	40	40	0.0	0.0
CFyozA2ckYNT8l23Xj	40	40	0.0	0.0
CT3fXb3xemm8XAYc7j	40	40	0.0	0.0
CrI7RH2hDfZLJsYtgc	40	40	0.0	0.0
CVQxue2mkwbr9tTHg2	40	40	0.0	0.0
C02bzd9roa2YI27a8	40	40	0.0	0.0
CK8xHV2SJsGFQ8bPA4	40	40	0.0	0.0
C29fMm2Ndp4LTcNpmd	40	40	0.0	0.0
Cz6qf62jUGpTCog766	40	40	0.0	0.0
CxPXoe3UKnBwKOvDvl	40,26	40,26	0.0,0.004718	0.0,0.292022
C7ODzlrpFlfZpXlE4	40	40	0.0	0.0
CxQEOJ1z5idwR1T6ed	40	40	0.0	0.0
CIsIvWYP3JhLnNT57	40	40	0.0	0.0
CyAUAq48EaQoGALHf8	40	40	0.0	0.0
CW51yg4iAi9o9hD2Cl	40	40	0.0	0.0
CgOixe3yLfPVU8VKeb	40	40	0.0	0.0
C0GX2e2HlzkR1c0b41	40	40	0.0	0.0
CNyR5j18CYbRThnvRg	40	40	0.0	0.0
CYyMgh0aOjPnL6DIh	36,686	36,265,22	0.0,0.040047	0.0,0.019951,2.000073
ClEbSJ3nig9fQn6h69	40	40	0.0	0.0
CXsdZj3Em8eENIlZTk	40	40	0.0	0.0
C01E9OVOpUqeDbu15	40	40	0.0	0.0
CkIQDa195YdpzRAVwd	60,562,733	60,2940,4020,4020,3417,319,22	0.0,3.242945,4.381504	0.0,0.021778,0.00002,0.004945,0.01101,0.020486,10.000086
CcWESU37RPNRFvCOD1	40	40	0.0	0.0
COy7hKDiBo981Op4h	40	40	0.0	0.0
CdBHle2gAjAdoK8G49	40	40	0.0	0.0
CEEFGa3Z4Iw05embV7	40	40	0.0	0.0
Ca0FZF4231L23sHRC3	40	40	0.0	0.0
Ci57B84gcO6R5StGZ8	40	40	0.0	0.0
CBRElt1PPzjL3KJfFc	40	40	0.0	0.0
C0KvfE1CmabTdqBuQ3	40,200	40,176,32	0.0,2.290574	0.0,0.022694,0.0
Cwdewu3TGqDY6XY82f	60,724,748	60,319,319,22	0.0,3.221612,1.362557	0.0,0.038643,0.056195,9.999762
C0N1wi2s2R5jrjV2S7	40	40	0.0	0.0
Cvg42DucvxhUphzfe	36,624,644	36,396,1620,396,4789	0.0,0.058181,2.086571	0.0,0.484666,0.000063,0.503311,0.000093
Chwsnf21KwLjzkNxl5	40,496	40,608	0.0,0.028243	0.0,0.030766
CISK0C41o81QzlPdBj	40,480	40,3928	0.0,0.081265	0.0,0.025798
CMo9dy3uc3eVNzmwy6	40,176,96,24	40,272	0.0,1.516073,0.003598,0.028666	0.0,0.4946
CXglkC4xabN0KoO11h	40,302,26	40,996,26	0.0,0.004141,0.621295	0.0,0.447858,0.187965
C7lll022vtzpS7YBf9	40	40	0.0	0.0
C8BKYf3WeTiCfyJ7qi	40	40	0.0	0.0
CF1rcX1X99l1BS0Wr6	40	40	0.0	0.0
CqJCXQJtbuXe1iM3	40,192,872	40,24	0.0,3.643392,0.017638	0.0,0.383882
CPjKRn26rRMpNWFkxf	40	40	0.0	0.0
CzKcWu16FDFHQHXD79	40	40	0.0	0.0
CS7HWy4pTKx1QcZNib	40	40	0.0	0.0
CZijX04hP9L97O08T9	36,651	36,339,22	0.0,0.19966	0.0,0.025092,2.732475
CHuWGJ1lgmHYxkQ3Z6	40	40	0.0	0.0
CTEgRX2dI5Qzi5Fwpe	40	40	0.0	0.0
C0iWFi1vN3Fbigbm03	40	40	0.0	0.0
Cnh4us2EBp1nk2urVc	40	40	0.0	0.0
CjQpwL2CDATycecb97	40	40	0.0	0.0
CL1LOY322OAxCUTs3f	40	40	0.0	0.0
CDULJqN03VMyebl6i	40	40	0.0	0.0
C7n9wUFU2KuFXW7Uc	40	40	0.0	0.0
CaglpcpA9ffNC5RC3	40	40	0.0	0.0
C6by8y1ZdRGOPZEiu	40	40	0.0	0.0
CtBa2Z1bN2Edwefzza	40	40	0.0	0.0
CTChJt49mw7IVs00Sf	40	40	0.0	0.0
C6KfxB3MR0FjDqklr2	40	40	0.0	0.0
CtmvG118foXfcQYvCf	40	40	0.0	0.0
CNeonC2dPtMtOsi6J9	40	40	0.0	0.0
Cm38qh7AABdwL0WV5	64	64	0.0	0.0
CqK1P72QjLTth6sdnh	40	40	0.0	0.0
CmeOav41BFEgiTZtxf	40	40	0.0	0.0
C3QkLc2LhCwKtQjnV8	40	40	0.0	0.0
CzDm3i3c0n8R0Omn5j	40	40	0.0	0.0
CxPxCu3rLwzUYBrxSd	40	40	0.0	0.0
C5oUyC4FF6J3SP7An8	40	40	0.0	0.0
CkpeN64xSdgjYXwZEe	36	36	0.0	0.0
Cl1n761wMkP1EM0iLd	40	40	0.0	0.0
Cq3n4p24yCFFPdXbd4	36,404,404,408,398,398,399,408	36,5789,12313,1599,12027,16404,16404,6906,3042,5867	0.0,0.127466,2.550065,2.113815,0.625938,0.388225,1.51005,5.212444	0.0,0.028639,0.026908,0.024159,0.029061,0.028807,0.005184,0.002984,0.028757,0.023592
CGqc9p7NLujG6aum2	40	40	0.0	0.0
CPldHn3nhkGZnxx98b	40,384	40,4488,48	0.0,0.134947	0.0,0.032136,0.0
Crv4202AygUjKMTEtl	36,324,398,398,404,408,398,398,398,400,408,395	36,6359,1432,1432,5789,16404,16404,16404,16404,16404,14285,10004,16404,16404,16404,16404,16404,16404,6930,16404	0.0,2.680429,2.749095,0.423101,0.171773,2.100823,0.701447,1.998321,0.622653,0.735465,6.027004,0.692639	0.0,0.025666,0.023809,0.030903,0.029755,0.035282,0.016363,0.004002,0.002056,0.001983,0.010979,0.026532,0.028801,0.004894,0.004044,0.003981,0.00702,0.003966,0.001969,0.031458
CYwXRJ1v0eRcYGvKti	40	40	0.0	0.0
CFMvth1pvdE47bvTf9	40	40	0.0	0.0
CXXn2u1cfYniI5Bdq9	40	40	0.0	0.0
C2TgTa1d4xmMNJqLlc	40	40	0.0	0.0
CtklCZ2oECGSyb8Ht3	40	40	0.0	0.0
CMfifw2qAAkaMtbEG	40	40	0.0	0.0
CG8V0Cdi2oiuvVSbe	40	40	0.0	0.0
CKXgEk3UUoAoFscIee	40	40	0.0	0.0
C5YYCj2oh0U7VGIUg5	40	40	0.0	0.0
CnnMM3PsrRjv8vSli	40	40	0.0	0.0
CUZLDM2f8c30CbndL9	40	40	0.0	0.0
CDwafl1BVHw8MsyObd	40	40	0.0	0.0
CVQFZz1Q18f1jflH57	40	40	0.0	0.0
CmTdjv2u1wNCIp8GZ1	40	40	0.0	0.0
CR9bq925ea3KvLvzr6	40	40	0.0	0.0
CKN1sFJST44j1vdOj	40	40	0.0	0.0
C7136A4vJ74iA0f0P8	36	36	0.0	0.0
CfNjqI3Iro76DLtC2c	40	40	0.0	0.0
CsutGe3FPrMeB7B1i4	40	40	0.0	0.0
ChT6TphYcmcGUX419	40	40	0.0	0.0
CiqSWk4pVq9CrR7WYf	40	40	0.0	0.0
CG2a5w1OsymvQMfjbc	40	40	0.0	0.0
C9l2IV1xIYagaaijpa	40	40	0.0	0.0
CYXgY21i2J56CFcHej	40	40	0.0	0.0
CKkxqV2zuEeBQIM6K1	40,160	40,432	0.0,2.413767	0.0,0.281502
CsoH4bOvP4ZjUTLZh	40	40	0.0	0.0
C3bHOWPgZrn2tTRw4	40	40	0.0	0.0
CM3DPn1KTvd65HHtO2	40	40	0.0	0.0
Co67pz37sFOO41CjU	40	40	0.0	0.0
C6wN1b5CWElyi7Bu	40	40	0.0	0.0
CfTJ5Z3Opc3ETEWDmf	40	40	0.0	0.0
CRyJV1BqEELD5Vdk1	40	40	0.0	0.0
Cv8OXl2Nq6CtSpC0x3	40	40	0.0	0.0
CxwkGpQAY2wgAD85e	40	40	0.0	0.0
CMVHtJXdxLSIDlSx8	40	40	0.0	0.0
Cgo2Ef3a8RJZ9A567a	40	40	0.0	0.0
Cnc39t4UqFHK1qsQY4	40	40	0.0	0.0
C2fYMo24pUaykIWt97	40	40	0.0	0.0
CAWdCn4NMZMR1dgfZ7	40	40	0.0	0.0
CiQAFZ1Dfs7YUdGlQh	40	40	0.0	0.0
Cm8SJy2cos3nSiK85a	40	40	0.0	0.0
C3aFJddnf8fgSt6r9	32,190	32,271	0.0,0.033088	0.0,0.227924
Crh9q21StNlxvX3wN8	40	40	0.0	0.0
CIoRBn2nNumA2MWDCd	40	40	0.0	0.0
Ca40xVqLWdiDApfj9	40	40	0.0	0.0
CsTyhF26qgnt5depi7	40	40	0.0	0.0
CHvGsk3ZDWHkDqx1M3	40	40	0.0	0.0
C8c4Oi3RZI2LMvQZ47	40	40	0.0	0.0
CC7DTL3DtE47Kpt2r9	40	40	0.0	0.0
CpLB9z15UpWFin4aBd	40,408,424	40,24,184,24,440	0.0,22.566237,0.007433	0.0,0.234493,0.0,0.718576,0.0
CV76em2HOmmxwjCqtj	40	40	0.0	0.0
CQWFnKal3Q0u3Ge1e	40	40	0.0	0.0
CkQfJg1G9BstR2G5e9	40	40	0.0	0.0
CGNY3M1LVuROgwmaDj	40	40	0.0	0.0
CGOBLr2HplZCo3jp7a	40,408,424	40,24,184,24,440	0.0,22.746583,0.06987	0.0,0.218494,0.0,1.193397,0.0
CD4NE246r1hLNnDL53	40	40	0.0	0.0
Ck1xQ51SWTeMlCvNyi	40,408,424	40,24,184,24,440	0.0,23.448929,0.013124	0.0,0.223187,0.0,0.220793,0.0
CJNxUR25kdOmBbUIOl	40	40	0.0	0.0
CFAoXc4iPz1gErj9h5	40,408,424	40,24,184,24,440	0.0,22.731302,0.007977	0.0,0.40336,0.0,1.223277,0.0
C1vDJS1oLRFpNd7m86	40,408,424	40,24,184,24,440	0.0,23.109761,0.007734	0.0,0.299245,0.0,0.29926,0.0
C0eZga12qnNxpsx7fh	40,408,424	40,24,184,24,440	0.0,22.868966,0.00707	0.0,0.187307,0.0,0.187662,0.0
CNNZGfrywLLFt2OX1	40	40	0.0	0.0
CC3EKGMI8OZezQ1Md	40	40	0.0	0.0
C0DrV9DR8QbdHF90e	40	40	0.0	0.0
Csv9ll4GA2OfR34vzj	40	40	0.0	0.0
CDFDSh2HYCjFCO6am	40	40	0.0	0.0
CDfUMI2UYHL2E0HwPg	40	40	0.0	0.0
CrKWRu2tq0asnzvmL	40	40	0.0	0.0
CewL1e39Zo1S0Vzjh	40	40	0.0	0.0
CI1R1H1kGL0pk2GTW6	40	40	0.0	0.0
CnFQgX19PkBWIHXAQ8	40	40	0.0	0.0
